Pittore;Numero libro;Titoli libri
A. Alciati;43-625-710-865;
A. Pistarino;160-385;
Abbati;289;
Abrate;496;
Acerbi;77;
Agazzi;620;
Aimone;148-287-368-463;
Albertini;154-562;
Alciati E.;188-483-507;
Aliberti;639;
Alli Mandi;820;
Aloi;563;
Amisani;545;
Annigoni;150-151-152;
Armani;422;
Aubel;843;
Avondo;103-664-714;
B. Ciardi;48-479-814;
B.Musso;559;
Baccarini;275;
Bagetti;531-662-538;
Balla;234-609;
Ballero;383;
Banti;434;
Barabino;131-607-745-726-392-469;
Baretta;660-675;
Bartolena;333-442-476;
Barucco;798;
Bazzaro;20-21-789;
Beisone;624;
Belcastro;110;
Bellino P.;323;
Belloni G.;200-200bis;
Benzi;398-622;
Bernardi;178;
Bertea;130;
Bertelli L.;125-126-631;
Bertini;231;
Bettinelli;807;
Bianchi A.;816;
Bicchi;153;
Bilon;582;
Bison;232;
Bistolfi;354-626-661;
Bocca;771;
Boccalatte;378;
Boccardo;146-375?;
Boccioni;718-835;
Boetto;127-128-129-267;
Boffa Tarlatta;142;
Boggio;682;
Boglione;326;
Boldini;41-42-42bis-224-325-688-642-224bis;
Bolongaro;19;
Bonato Minella;155;
Boncanini;767;
Bonzagni;666;
Bonzino;560;
Bora;766;
Bordignon;182;
Borghi;331;
Borgiotti;567;
Boria E.;p.f.;
Borrani;154-534;
Bosia;338-427;
Bosio;299;
Bossoli;118-119-120-283;
Boswell;824;
Bouvier;363;
Bozino A.;p.f.;
Bozzalla;230-264-295-517-546;
Bozzetti;149-500;
Brandeis;556;
Bras;161;
Brignoli;384-407;
Brunetto;717;
Bucci;696-750;
Buratti;542;
Burri;733;
Busi;104;
C. Ferro;146-147-148-376-410-684;
Cabianca;157-557;
Caffaro Rore;529;
Caffi;304;
Cagli;673;
Cahours;636;
Calame;332;
Calandri;292;
Calderini;76;
Calvi di Ber;528;
Camarda;761;
Camino;155;
Cammarano;460;
Campagnari;143-144-145;
Canella;84;
Cannicci;367;
Capocchini;156;
Caprile;558;
Caputo;324-412;
Carbonati A.;p.f.-423;
Carcano;280;
Carelli;177;
Carena;285;
Carlandi;773;
Carlin;270;
Carmignani;10- - 11;
Carnovali;158-513-793-159;
Carpanetto;176-504;
Carpi;46;
Carrà;28-29;
Carraresi;511;
Cascella;481-678;
Casciaro;644;
Casorati;309-502-552;
Casorati D.M;776;
Cassioli;803;
Catarsini;302;
Cavaglieri;256;
Cavalleri;113-114-505;
Cavalli;158-268-536;
Cecconi;196-649-650-755;
Chappel;279-279bi-279ter;
Chessa;724;
Chialiva;817;
Ciani;752;
Cigheri;163;
Cignaroli;530;
Cima;181-381;
Cinotti;545;
Ciolina;179;
Claudus;887;
Coleman;159-171-306-307;
Colmo;174-435;
Colombotto Rosso;192;
Cominetti;151-151bis-715-781;
Comolli;647;
Confalonieri Belgio;837;
Conterno;259-518;
Conti;501;
Corbelli;514-515;
Corcos;184-574;
Cordero;854;
Coriolano Vighi;539;
Cosola;352-465;
Costa G.;204;
Costa N.;168-431;
Costelli;135;
Crema;812-853;
Cremona;578;
Cressini;102-250;
Crisconio;441;
Da Molin;685;
Dalle ceste;147;
Dall'oca Bianca;197;
Damilano;273-273bis;
D'andrade;133-635;
Danieli;121-122-123-249-296;
D'azeglio;134-616;
De Bernardi;263-437;
De Fiori E.;p.f.-699;
De Grada;23-440-857;
De Maria;153;
De Nittis;59-60-61-225-455-325;
De Pisis;614-448;
De Servi;628;
De Stefani;753;
De Strobel;886;
Deabate;389-569-597;
Deamicis;451;
Dellamonica;648;
Delleani;90-91-92-93248-319-467-472-473-474-475-335;
Dell'orto;54;
Depetris;731;
D'espinosa;723-831;
Di Montezemolo;71;
Dinet Nasreddine;765;
Domenici;187-743;
E. Ciardi;519;
E. Peluzzi;217-351-596;
F. Gonin;30-709;
Falchetti A.;866;
Falchetti g.;591;
Faruffini;312-458;
Fattori;105-106-107-108-207-325-358-754;
Favretto;32-33;
Ferrari;708;
Ferraris;819-870;
Ferrazzi;738;
Ferrero;571;
Ferroni;401;
Filippelli;630;
Filippini;229;
Flumiani;875;
Focardi;750;
Foggia;436;
Fontanesi;115-116-117-117bis-308-420-543-291-291bis;
Fornara;6-9-535-584-554;
Fracassini;163;
Fracchia;466;
Fragiacomo;203;
Funi;443-674;
G. Ciardi;49-589;
G. Giani;320;
G. Grande;12;
G. Grosso;50-51-52-53-237-826-730;
Gaidano;453-618-687;
Galante;258-446;
Gallelli;603;
Galletti;840;
Galli;527;
Galli R.;p.f.;
Gallotti;815;
Gamba;406;
Gandi;239;
Gariazzo;140-141-288-366;
Gastaldi;512-619;
Gaudina;450;
Gays;427-478;
Gelada da virgilio;585;
Gemelli;390;
Gemito;281-402-458;
Geranzani;277;
Gheduzzi;150-491;
Ghiglia;112-774-677-257;
Ghittoni;653-676;
Ghivarello;178-341-525;
Giani F.;780;
Gigante;169-170-205-374;
Gignous;524;
Gioli L;492;
Gobbi;278;
Gola;57-58-382-462-456-703;
Gordigiani;138;
Grassis;236-590;
Graziosi;691;
Grossi G.;792;
Grosso O.;762-782;
Guala;521;
Gualino;801;
Guardi;337;
Guarlotti;193-194-195-314-315-317-415;
Guerello;85;
Guzzone;316;
Hayez;78-79-245-254-621;
I fratelli Palizzi;100-101-328-329-551;
I tre Vercelli;165-166-640-689;
Induno D.;156-157-540;
Inganni;225;
Juglaris;424;
Lalla Romano;580;
Lear;601;
Lega;55-56-208-849-56bis;
Leonor Fini;890;
Levi Carlo;191;
Levi Luigi;740;
Levis;164-411-654-760;
Lisa;75-284;
Llewelyn;132;
Loiacono;171-547;
Lomi;301-393-690;
Longoni;290-581-634;
Luigi Nono;340-484;
Lupo;62-63-510;
M.Puccini;565;
Macchiati;395;
Maggi;44-45-246-272;
Maimeri;632;
Malchiodi;265;
Malesci;480;
Malinverni;305;
Malvano;391-428-444-643;
Mancini;95-96-97-98-99-276-344-345-394-454-867-880;
Manfredi;201;
Manganelli;190;
Mannucci C.;p.f.;
Manzone;342-370-594-418;
March;477;
Margotti;641;
Mariani;80-81-82-297;
Marussig;409;
Marzocchi;183;
Mastroianni;851;
Mazza;852;
Mazzoni;670;
Mejneri;526;
Mello M.;419;
Mennyey;14-15-13-493;
Mentessi;361-495;
Menzio;600-449;
Meoni;388;
Merello;199;
Messina;763;
Michelacci;221;
Micheletti;488-533-595;
Michetti;602;
Migliara;149-251-362-655-455;
Migliaro;365-413-588;
Milesi;572;
Miradio;334;
Moggioli;509;
Monti;162;
Morandi;592;
Morando;321-683;
Morbelli;73-74-842-317-469-713-313;
Morbelli Gigi;713;
Morelli;244-400-667;
Mosè Bianchi;172-228-310-863-883-576;
Motta;611;
Mucchi A.M;794;
Mus;1-2-3-4-5-7-8-672-818;
Musso c;274;
Muzzioli;160-523;
Natali;629;
Nebbia;799;
Nella Marchesini;663;
Netti;124;
Noci;821;
Nomellini;293-548;
Odierna;516;
Oiivari;226;
Olivero M.;86-87-425-813;
Onetti;375;
Palanti;537;
Panza;327;
Pariani;370;
Paschetto;506;
Pascucci;47;
Pasinetti;809;
Pasini A.;165-166-356-579-808;
Pasini Lazzaro;167;
Passigli;494;
Pata;769;
Patini;222;
Paulucci;241-670-671;
Pecheux;605;
Pelizza;223-294-303-350-637;
Pelliciotti;227;
Perissinotti;404;
Petiti;353;
Peyron;498;
Piacesi;482;
Piana;638;
Piatti;408;
Pieretto Bianco;432;
Pinelli;439;
Piovano;170;
Pirovano;610;
Pistoletto;593;
Pitloo;176-206;
Pittara;694;
Pittatore;339;
Piumati;656-681;
Pizzirani;336;
Politi;379;
Pollonera;136-137;
Polloni;189;
Poma A.;786-855;
Pomi;271;
Pougny;735;
Pratella;364-768;
Prati;806;
Premazzi;369;
Previati;72-202-695-829-485;
Protti;22;
Pugliese Levi;27-720-783-371;
Quadrone;300-356-372-570;
Quaglino;175;
Ragione;587;
Raimondi;633;
Ranzoni;35-430;
Rava;396-416;
Raymond;109;
Rayper;520;
Renda;553;
Renucci;739;
Rescalli;550-606;
Reviglione;349;
Reycend;111-346-693;
Riblet;173;
Ricca;823;
Roch;260;
Rodocanaghi;705;
Romagnoli;26-471;
Romiti;742-784;
Rontini;470;
Rosai;447;
Rosler Franz;185-669;
Rossano;252-260;
Rossetti;577;
Rossi Angelo;387;
Rossi Luigi;83;
Rosso Mino;856;
Rovero;25-322-348;
Ruggeri;732;
